SiteID;SiteName;Longitude;Latitude;Elevation;Regione
1972;TORINO DI SANGRO;14.54416667;42.23333333;164;Abruzzo
2050;SAN NICOLA;15.50405556;42.11911111;70;Abruzzo
380;Villapiana Scalo;16.49861111;39.795;5;Calabria
991;Portoferraio Citta';10.33456;42.817478;4;Toscana
60;Piazza  Armerina;14.369765;37.388265;708;Sicilia
30;Lercara Friddi;13.599913;37.74721;676;Sicilia
32;Diga Platani (Fanaco);13.552996;37.670208;667;Sicilia
85;San Fratello;14.598359;38.016142;654;Sicilia
16;Corleone;13.301266;37.814435;629;Sicilia
26;Bisacquino;13.257793;37.698209;590;Sicilia
86;Zafferana Etnea;15.105789;37.694213;590;Sicilia
149;San Giuseppe Jato;13.187319;37.973021;583;Sicilia
29;Bivona;13.438949;37.61914;554;Sicilia
66;Ragusa;14.723773;36.922496;532;Sicilia
518;Cortona;11.996384;43.268988;485;Toscana
136;Ciminna;13.559357;37.891796;467;Sicilia
83;Mineo;14.690246;37.264436;459;Sicilia
43;Canicattì;13.849812;37.357789;456;Sicilia
255;Santa Cristina d'Aspromonte;15.96472222;38.25694444;448;Calabria
789;Larderello;10.883635;43.237934;434;Toscana
82;Caltagirone;14.517966;37.239686;428;Sicilia
13;Partanna;12.891589;37.729407;426;Sicilia
132;Scillato;13.914364;37.862158;425;Sicilia
38;Racalmuto;13.729697;37.409678;419;Sicilia
265;Cittanova;16.0775;38.35222222;407;Calabria
34;San Sosti;16.02805556;39.66444444;384;Calabria
2258;SULMONA;13.91444444;42.06861111;365;Abruzzo
283;Poggio Mirteto;12.6953;42.27;353;Lazio
64;Ragoleto Diga;14.681745;37.126438;353;Sicilia
383;Varazze;8.57833;44.38306;344;Liguria
848;Massa Marittima Azienda;10.894275;43.051329;331;Toscana
290;Mileto;16.064808;38.613861;328;Calabria
418;Castelnuovo Garfagnana;10.415527;44.112165;318;Toscana
140;Catanzaro;16.58583333;38.91083333;315;Calabria
162;Montalbano_Jonico;16.5639835872;40.2840248999;292;Basilicata
17;Arezzo;11.89285;43.471577;291;Toscana
345;Paola;16.04208333;39.36727778;282;Calabria
205;Ardore Superiore;16.15505556;38.20594444;275;Calabria
2;Cosenza;16.26527778;39.28694444;269;Calabria
2;TERAMO;13.71722222;42.65472222;264;Abruzzo
28;Diga Castello;13.408301;37.580671;264;Sicilia
876;Monte Oliveto;11.544107;43.176749;263;Toscana
6874;USTICA;13.183;38.7;251;Aeronautica
2261;POPOLI;13.82861111;42.15611111;248;Abruzzo
334;Frascati;12.6714;41.8097;245;Lazio
52;Rossano;16.63416667;39.57444444;223;Calabria
6771;CAPO MELE;8.167;43.95;221;Aeronautica
27;Ribera;13.272236;37.50326;216;Sicilia
278;Bracciano;12.175;42.1019;214;Lazio
41;Agrigento;13.588111;37.303537;212;Sicilia
177;Verzi Loano;8.23647;44.15611;205;Liguria
20;Tarsia;16.27277778;39.61722222;203;Calabria
26;Castrovillari;16.25416667;39.76555556;199;Calabria
6821;FROSINONE;13.3;41.633;185;Aeronautica
6841;PONZA;12.95;40.917;185;Aeronautica
6850;CAPO PALINURO;15.283;40.017;185;Aeronautica
88;Acireale;15.165228;37.620461;184;Sicilia
